Klasa betonu;fck;fcm;fctm;fctk005;fctk095;Ecm;epsilon c1;epsilon cu1;epsilon c2;epsilon cu2;epsilon c3;epsilon cu3;eta;chi
C12/15;12,00;20,00;1,60;1,10;2,00;27,00;1,08;3,50;2,00;3,50;1,75;3,50;2,00;0,43
C16/20;16,00;24,00;1,90;1,30;2,50;29,00;1,09;3,50;2,00;3,50;1,75;3,50;2,00;0,43
C20/25;20,00;28,00;2,20;1,50;2,90;30,00;2,00;3,50;2,00;3,50;1,75;3,50;2,00;0,43
C25/30;25,00;33,00;2,60;1,80;3,30;31,00;2,10;3,50;2,00;3,50;1,75;3,50;2,00;0,43
C30/37;30,00;38,00;2,90;2,00;3,80;33,00;2,20;3,50;2,00;3,50;1,75;3,50;2,00;0,43
C35/45;35,00;43,00;3,20;2,20;4,20;34,00;2,25;3,50;2,00;3,50;1,75;3,50;2,00;0,43
C40/50;40,00;48,00;3,50;2,50;4,60;35,00;2,30;3,50;2,00;3,50;1,75;3,50;2,00;0,43
C45/55;45,00;53,00;3,80;2,70;4,90;36,00;2,40;3,50;2,00;3,50;1,75;3,50;2,00;0,43
C50/60;50,00;58,00;4,10;2,90;5,30;37,00;2,45;3,50;2,00;3,50;1,75;3,50;2,00;0,43
C55/67;55,00;63,00;4,20;3,00;5,50;38,00;2,50;3,20;2,20;3,10;1,80;3,10;1,75;0,29
C60/75;60,00;68,00;4,40;3,10;5,70;39,00;2,60;3,00;2,30;2,90;1,90;2,90;1,60;0,21
C70/85;70,00;78,00;4,60;3,20;6,00;41,00;2,70;2,80;2,40;2,70;2,00;2,70;1,45;0,11
C80/95;80,00;88,00;4,80;3,40;6,30;42,00;2,80;2,80;2,50;2,60;2,20;2,60;1,40;0,04
C90/105;90,00;98,00;5,00;3,50;6,60;44,00;2,80;2,80;2,60;2,60;2,30;2,60;1,40;0,00
